subject,vertical,corridor,metric,measures,source,url
Andela,AI & Enterprise,Africa,49,African countries the talent network now draws engineers from,"Andela, 2024-2025.",https://data.capsrow.com/company/andela.html
Awarri,AI & Enterprise,Africa,5,Nigerian languages plus accented English in the national model,"Awarri launch, April 2024; Rest of World.",https://data.capsrow.com/company/awarri-nigeria-llm.html
Cassava,AI & Enterprise,Africa,"3,000","Nvidia GPUs deployed in South Africa, Africa's first AI factory","Cassava Technologies, 2025.",https://data.capsrow.com/company/cassava-ai-factory.html
DeHaat,AI & Enterprise,the Global South,1.8M,"farmers get inputs, crop advice, and a route to market through DeHaat","DeHaat; NITI Aayog, 2024.",https://data.capsrow.com/company/dehaat.html
InstaDeep,AI & Enterprise,MENA,90%,"of WHO-designated variants flagged by the system, on average early","BioNTech, 2022.",https://data.capsrow.com/company/instadeep-early-warning.html
Lelapa AI - InkubaLM,AI & Enterprise,Africa,5 languages,"isiZulu, Yoruba, Hausa, Swahili and isiXhosa in one model","Lelapa AI, October 2024; arXiv:2408.17024.",https://data.capsrow.com/company/lelapa-inkubalm.html
Lori Systems,AI & Enterprise,Africa,"20,000",trucks are matched to cargo across Lori's network,"Lori Systems, 2025.",https://data.capsrow.com/company/lori-kobo360.html
Peter Njonjo,AI & Enterprise,Africa,"140,000","retail outlets served, sourced from more than 17,000 farmers","Twiga, 2022.",https://data.capsrow.com/company/twiga.html
Reliance Jio,AI & Enterprise,the Global South,50M,subscribers signed on in the first 83 days - faster than any app before it,"Reliance Industries, 2016.",https://data.capsrow.com/company/reliance-jio.html
Sabi,AI & Enterprise,Africa,"250,000",registered users trade through Sabi's platform for informal commerce,"Sabi; TechCabal, 2024.",https://data.capsrow.com/company/sabi-omniretail.html
Sarvam AI,AI & Enterprise,South Asia,22 languages,"the sovereign LLM India commissioned, built on Indian infrastructure","Sarvam AI blog, 26 April 2025; IndiaAI Mission.",https://data.capsrow.com/company/sarvam-sovereign-llm.html
TII Falcon,AI & Enterprise,MENA,180B,Abu Dhabi's open model scaled to 180 billion parameters,"Technology Innovation Institute, 2023.",https://data.capsrow.com/company/falcon-open-model.html
Yotta,AI & Enterprise,South Asia,"16,000",India built its sovereign AI cloud from zero to sixteen thousand GPUs,"Nvidia; Yotta, 2024.",https://data.capsrow.com/company/yotta-shakti-gpus.html
"A decade of light, counted in people.",Energy,Africa,138 million,"A decade of light, counted in people","GOGLA, Global Off-Grid Solar Market Report, 2025.",https://data.capsrow.com/company/off-grid-solar-decade.html
Adani Green,Energy,South Asia,9.4 GW,"installed and operating at Khavda, and rising","Adani Green Energy, April 2026.",https://data.capsrow.com/company/adani-khavda.html
Al Dhafra Solar,Energy,MENA,4 million,solar panels across one desert site in Abu Dhabi,"Masdar / EWEC project disclosures, 2023.",https://data.capsrow.com/company/al-dhafra-solar.html
Benban Solar Park,Energy,MENA,"1,465 MW",fed to the grid from Africa's largest solar park,"European Investment Bank; African Development Bank; IFC, 2019.",https://data.capsrow.com/company/benban-solar.html
Gogoro,Energy,Southeast Asia,"370,000",battery swaps a day across Taiwan,"Gogoro, March 2026.",https://data.capsrow.com/company/gogoro-battery-swap.html
Husk Power,Energy,Africa,400+,solar minigrids built across rural Africa and South Asia,"Husk Power, 2025.",https://data.capsrow.com/company/husk-minigrids.html
KenGen,Energy,Africa,46%,of Kenya's electricity came from geothermal in 2024,"TotalEnergies / IEA, 2024.",https://data.capsrow.com/company/kengen-olkaria-geothermal.html
M-KOPA,Energy,Africa,40,"shillings a day - the price of a solar unit, sized to a daily wage","Safaricom / M-KOPA, 2018.",https://data.capsrow.com/company/m-kopa.html
Power comes first,Energy,Africa,600M,"people in sub-Saharan Africa still have no electricity - 47 percent, nearly half the continent","IEA, 2024.",https://data.capsrow.com/company/power-first.html
Sun King and d.light,Energy,Africa,50M,people reached by Sun King's off-grid solar products worldwide,"Sun King, 2025.",https://data.capsrow.com/company/sun-king-d-light.html
VinFast,Energy,Southeast Asia,"406,453",electric scooters VinFast delivered in Vietnam in 2025,"VinFast investor relations / SEC Form 6-K, February 2026.",https://data.capsrow.com/company/vinfast-escooters.html
Bitso,Financial,Latin America,9M,"users across Mexico, Brazil, Argentina, Colombia, Chile, and Peru","Bitso, 2025.",https://data.capsrow.com/company/bitso.html
bKash,Financial,the Global South,83M,"customers now send, save, and receive money through bKash","bKash, 2026.",https://data.capsrow.com/company/bkash.html
Chipper Cash,Financial,Africa,5M,users send and receive money across the continent through one app,"Chipper Cash, 2025.",https://data.capsrow.com/company/chipper-cash.html
Clip,Financial,Latin America,100Ks,hundreds of thousands of businesses across Mexico now take card payment,"Clip, 2025.",https://data.capsrow.com/company/clip.html
Creditas,Financial,Latin America,47M,formally employed Brazilians became eligible for the new digital payroll credit,"Nubank / Creditas, 2025.",https://data.capsrow.com/company/creditas.html
dLocal,Financial,Latin America,600+,global merchants reach customers across the Global South through one connection,"dLocal, 2025.",https://data.capsrow.com/company/dlocal.html
Easypaisa & JazzCash,Financial,the Global South,50M,registered users on Easypaisa - around one in four Pakistani adults,"State Bank of Pakistan, 2024.",https://data.capsrow.com/company/easypaisa-jazzcash.html
Fawry,Financial,MENA,53.8M,"customers pay, top up, and settle bills through Fawry","Fawry, 2024.",https://data.capsrow.com/company/fawry.html
GCash,Financial,the Global South,81M,"active users send, pay, and save through GCash each month","GCash, 2025.",https://data.capsrow.com/company/gcash.html
"In Latin America, the account went from rare to routine.",Financial,Latin America,70%,"In Latin America, the account went from rare to routine","World Bank Global Findex, 2011 to 2024 (excludes high-income economies).",https://data.capsrow.com/company/latam-account-ownership-surge.html
Konfio,Financial,Latin America,"80,000",businesses backed with credit across more than a decade in Mexico,"Konfio, 2025.",https://data.capsrow.com/company/konfio.html
M-Pesa,Financial,Africa,37.9M,customers now move money through M-Pesa in Kenya,"Safaricom, 2025.",https://data.capsrow.com/company/m-pesa.html
Mercado Pago,Financial,Latin America,78M,monthly active users across the region,"MercadoLibre, Q4 2025.",https://data.capsrow.com/company/mercado-pago.html
Mobile money doubled to two billion accounts in five years.,Financial,Africa and the Middle East,2 billion,Mobile money doubled to two billion accounts in five years,"GSMA State of the Industry Report on Mobile Money, 2025.",https://data.capsrow.com/company/rails-counted.html
MoMo,Financial,the Global South,30M,more than thirty million users run daily payments and microfinance through MoMo,"MoMo, 2025.",https://data.capsrow.com/company/momo.html
Moniepoint,Financial,Africa,4M,merchants take payment through Moniepoint - many in markets the bank branch never reached,"Moniepoint; LeapFrog, 2025.",https://data.capsrow.com/company/moniepoint.html
Mudassir Sheikha,Financial,MENA,1M,"more than a million captains earned across the Middle East, Pakistan, and beyond",Careem.,https://data.capsrow.com/company/careem.html
Nagad,Financial,the Global South,45M,"customers send, save, and receive money through Nagad","Nagad; Future Startup, 2025.",https://data.capsrow.com/company/nagad.html
Nequi,Financial,Latin America,22M,"users bank, save, and pay through Nequi from their phone","Nequi, 2024.",https://data.capsrow.com/company/nequi.html
Nubank,Financial,Latin America,100M,customers had joined by 2024 - a bank with no branches to walk into,"Nubank, May 2024.",https://data.capsrow.com/company/nubank.html
OPay,Financial,Africa,40M,"users run everyday money through OPay - pay, transfer, top up, save","OPay, 2026.",https://data.capsrow.com/company/opay.html
Paymob,Financial,MENA,"350,000",merchants accept payment through Paymob's rail,"Paymob; Techpoint, 2024.",https://data.capsrow.com/company/paymob.html
Pezesha,Financial,Africa,"500,000",loans disbursed across the rails in Kenya and Uganda - and counting,"Pezesha, 2025.",https://data.capsrow.com/company/pezesha.html
PicPay,Financial,Latin America,64M,"accounts now send, split, and settle money through PicPay in Brazil","PicPay, H1 2025.",https://data.capsrow.com/company/picpay.html
Pix,Financial,Latin America,150M,Brazilians now use Pix - more than nine in ten adults,"Banco Central do Brasil, 2025.",https://data.capsrow.com/company/pix.html
QRIS,Financial,the Global South,26,payment providers with rival codes were unified onto one rail in 2019,"Bank Indonesia, 2019.",https://data.capsrow.com/company/qris-indonesia.html
Rappi,Financial,Latin America,9,countries and more than 350 cities across Latin America run on it,"Rappi, 2025.",https://data.capsrow.com/company/rappi.html
stc pay,Financial,MENA,12M,"users moved onto the wallet for payments, transfers, and remittances","stc pay, 2025.",https://data.capsrow.com/company/stc-pay.html
Stori,Financial,Latin America,3.7M,customers now hold a Stori card in Mexico,"Stori, 2025.",https://data.capsrow.com/company/stori.html
Tabby,Financial,MENA,25M,"registered users across Saudi Arabia, the UAE, and Kuwait","Tabby, 2025.",https://data.capsrow.com/company/tabby-tamara.html
Tamara,Financial,MENA,6M,customers now spread payments over time with Tamara,"Tamara, 2025.",https://data.capsrow.com/company/tamara.html
"The connected majority arrived, and it lives in the Global South.",Financial,the Global South,4.7 billion,"The connected majority arrived, and it lives in the Global South","GSMA, State of Mobile Internet Connectivity, 2024.",https://data.capsrow.com/company/smartphone-penetration.html
UPI,Financial,the Global South,703,banks now run on UPI - India's public payment rail,"NPCI; PIB, 2026.",https://data.capsrow.com/company/upi-2016.html
Wave,Financial,Africa,1%,flat fee to send - where incumbents charged closer to ten,"Wave; TriplePundit, 2025.",https://data.capsrow.com/company/wave.html
Women's account ownership nearly doubled in a decade.,Financial,the Global South,73%,Women's account ownership nearly doubled in a decade,"World Bank Global Findex, 2011 to 2024 (women, developing economies).",https://data.capsrow.com/company/account-gender-gap-closing.html
Yape,Financial,Latin America,20M,users - around three in four of Peru's working-age population,"Yape / BCP, 2025.",https://data.capsrow.com/company/yape.html
